PHI,log10.PHI,Std.Error,log10.Std.Error,0.025,0.975,log10.0.025,log10.0.975
0.94456022977829,-0.0254810750484467,2.16043900196543e-05,9.94817346055027e-06,0.841307707130909,1.05309127072493,-0.0750451329877582,0.0224660128234804
0.989161908626556,-0.00505599332973361,1.52530653327348e-05,6.70851893247219e-06,0.913192539910475,1.0649769137303,-0.0394376457095038,0.0273401914170033
0.910191714763641,-0.0413557849824429,1.72837348396658e-05,8.2444933178941e-06,0.825722593069077,0.999958423773448,-0.0831658442515029,-1.80755548699131e-05
0.855914652347565,-0.0682172998785973,1.86971844438579e-05,9.49466792613825e-06,0.766919322808584,0.952117263277372,-0.11525034581194,-0.021309561010718
0.863557696342468,-0.0640742406249046,1.41757405780578e-05,7.13471378596845e-06,0.796294668316841,0.936418941617012,-0.0989261947770662,-0.0285298121865187
1.03924798965454,0.0162785835564137,1.87144916798298e-05,7.83059230628181e-06,0.947897920509179,1.13085156083107,-0.0232384297201722,0.0534056017916001
1.09900379180908,0.040610283613205,1.86111304450488e-05,7.3553396903459e-06,1.01010574499766,1.19267734686534,0.004366840850185,0.0765229570638599
1.04207825660706,0.016668327152729,3.14242985804172e-05,1.308867368987e-05,0.894953608512878,1.20375006695588,-0.0481994765154259,0.0805362938020449
0.76341700553894,-0.119079552590847,2.80639210385797e-05,1.60315428692202e-05,0.630089792609215,0.902900187671185,-0.200597556441835,-0.0443602794875653
0.928858697414398,-0.0324125811457634,1.51745949898913e-05,7.09852380861733e-06,0.856035105884075,1.00421263078849,-0.0675084260051032,0.00182567925051349
0.851679027080536,-0.0706121474504471,2.17668302671952e-05,1.11224992565359e-05,0.747758669654528,0.959516887366772,-0.126238566571486,-0.0179473777199779
0.817825973033905,-0.0882431343197823,2.10489946217008e-05,1.12341621793928e-05,0.716073423127333,0.92140955477953,-0.145042450201666,-0.0355473344868724
1.04749655723572,0.0200292840600014,9.97743129233315e-06,4.13621754487232e-06,0.999055147667726,1.09632149736087,-0.000410538203062726,0.0399379300831869
1.05406177043915,0.0226361341774464,1.37286444926729e-05,5.6538909805954e-06,0.987768930693467,1.12394082347552,-0.00534463840635054,0.0507434458153166
0.65608674287796,-0.184849455952644,2.39316520494754e-05,1.58964573426046e-05,0.547213850915432,0.77806551605463,-0.261842918563316,-0.108983908166051
0.851971864700317,-0.069847859442234,1.20854525995907e-05,6.16711704734841e-06,0.791971976061662,0.913234845300515,-0.101290189967029,-0.0394175259944824
1.14968907833099,0.0602060742676258,1.90771383222519e-05,7.21981822868574e-06,1.05973441004753,1.24379608531793,0.0251970361369198,0.0947491850407684
0.852862000465393,-0.0691550150513649,4.31854085226044e-06,2.19994507442582e-06,0.831439083317916,0.873949742813905,-0.0801695653362305,-0.0585135420033858
1.20120823383331,0.0792532861232758,1.97118619398893e-05,7.13267324808909e-06,1.1089166889588,1.30102226138115,0.0448989182920943,0.114284727700706
